"comment_id","ticket_id","user_id","user_name","team_name","comment_text","created_at"
16,144,28,"chandramani Tiwari","SSG (Software Solutions Group)","done","2026-06-11 12:57:20.374599"
17,145,28,"chandramani Tiwari","SSG (Software Solutions Group)","Done DBa Testing","2026-06-11 13:17:10.824781"
