"client_id","client_name","organization","created_at","updated_at"
69,"Mahindra",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
70,"Mahindra Purple Club",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
71,"Nilkamal",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
72,"Reliance Nippon Life Asset",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
73,"Reliance Nippon Life ins",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
74,"Retail",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
75,"RoyalEnfield",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
76,"SBI",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
77,"Kotak Mahindra Bank",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
78,"CEQUITY-IMAGE_BANK",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
79,"Cequity Internal Assets",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
80,"Admin",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
81,"Campaign Responses",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
82,"Inorbit",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
83,"Standard Chartered",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
84,"IndiaFirst Life",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
85,"CHOLA-MONTRA",3,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
86,"PROCESS MANAGER",3,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
87,"Flipkart B2B",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
88,"Air India",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
89,"Palawan Pay",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
90,"Tata Motors",3,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
91,"Royal Enfield",3,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
92,"Extended Warranty",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
93,"Novel Jewels",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
94,"Zaggle",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
95,"Ask Mahindra",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
96,"Mahindra Solarize",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
97,"HOABL (Lodha)",2,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
98,"Dr Reddy",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
99,"The House of Angadi",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
100,"JCB (Japan Credit Bureau)",1,"2026-04-03 11:41:11.896137","2026-04-03 11:41:11.896137"
